Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,Info,DigiKey part #,Ebay Link
AP2112K,AP2112K-3.3TRG1,1,voltage regulator,AP2112K-3.3TRG1DICT-ND,
BTN_RST,PTS820 J15M SMTR LFS,1,reset button,CKN10506CT-ND,
"C1, C15",CC0603MRX5R6BB106,1,10uF,311-1817-1-ND,
"C2, C8, C9, C10, C11",CC0603KRX7R7BB104,2,0.1uF,311-1088-1-ND,
"C3, C4",CL10A475KO8NNNC,2,4.7uF,1276-1784-1-ND,
C5,C3216JB1E336M160AC,1,30uF,445-11710-1-ND,
C12,CC0603JRX7R9BB103,1,10nF,311-1778-1-ND,
C13,CC0603ZRY5V7BB105,1,1.0uF,311-1372-1-ND,
C14,CC0603KRX5R6BB225,1,2.2uF,311-1451-1-ND,
"D1, D2",1528-1104-ND,2,WS2812 RGB LED,1528-1104-ND,
ESP8266,1528-1438-ND,1,Digikey (Adafruit: #2491),1528-1438-ND,
INA219,INA219AIDCNR,1,current monitor chip,296-23770-1-ND,
JP_FTDI,M20-9990446,1,"4 pin, 0.254mm pitch, male header pin",952-2266-ND,
"JP_GND, JP_I2C, JP_RST, JP_VCHRG_IN",M20-9990246,4,"2 pin, 0.254mm pitch male header pin",952-2262-ND,
JP_MOTOR,PPPC031LFBN-RC ,1,"3 pin, 0.254mm pitch female header pin",S7036-ND,
JP_LIPO,Losi Micro Walkera 2-Pin Connector plug,1,,,e.g. http://www.ebay.com/itm/Losi-Micro-Walkera-2-Pin-Connector-plug-Male-Female-Crimps-x-50-Sets-/171361716288?hash=item27e5f44840
L1,NR3015T4R7M,1,4.7uH,587-1649-1-ND,
LED_CHRG,5988020107F,1,red,350-2030-1-ND,
LED_USER,5988060107F,1,green,350-2034-1-ND,
MCP1640,MCP1640BT-I/CHY,1,Boost converter,MCP1640BT-I/CHYCT-ND,
MCP73831,MCP73831T-2ACI/OT,1,LiPo charging chip,MCP73831T-2ACI/OTCT-ND,
"POWER_SWITCH, RUNMODE_SWITCH",PCM12SMTR,2,switches,401-2016-1-ND,
"R1, R4, R5, R6, R13",RC0603FR-0710KL,6,10k,311-10.0KHRCT-ND,
R2,RC0603FR-07976KL,1,976k,311-976KHRCT-ND,
R3,RC0603FR-07309KL,1,309k,311-309KHRCT-ND,
R8,ERJ-8BWFR100V,1,0.1,P.10AUCT-ND,
R9,RC0603FR-0715KL ,2,15k,311-15.0KHRCT-ND,
"R10, R11",RC0603FR-074K7L ,2,4.7k,311-4.70KHRCT-ND ,
R16,RC0603FR-072KL,1,2.0k,311-2.00KHRCT-ND,
"R15, R17",RC0603FR-071KL,2,1.0k,311-1.00KHRCT-ND,
R18,RC0603FR-074K99L ,1,4.99k,311-4.99KHRCT-ND,
R14,RC0603FR-0749K9L,1,50k,311-49.9KHRCT-ND,
R19,742C083103JP ,1,10k resistor array,742C083103JPCT-ND,
U1,ATECC108A-SSHCZ-B,1,encryption chip,ATECC108A-SSHCZ-B-ND,
U2,TMP102AIDRLR ,1,TMP102 temperature sensor,296-26834-1-ND ,
U3,LSM9DS1TR,1,LSM9DS1 IMU,497-14946-1-ND ,
